                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1265,                 1.0899,                 1.2377,                0.86705,                0.90287,                0.94814,                0.72387,                0.92611,                0.75851,                 1.1429,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.0851,                 1.0025,                 1.2279,                0.89264,                0.89854,                0.95362,                0.72541,                0.93311,                0.71485,                 1.1454,               0.000467,               0.000467,               0.000467
                     37,                  1.082,                 1.0409,                 1.2453,                0.93358,                0.90033,                0.95933,                0.74159,                 0.8947,                0.70146,                 1.1236,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.1188,                 1.0687,                 1.2789,                0.98016,                0.87019,                0.95793,                0.74323,                0.89862,                0.69355,                 1.1222,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.0885,                0.95912,                 1.2268,                0.93293,                0.89754,                0.96066,                0.72206,                0.91898,                0.68273,                 1.1326,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.0954,                 1.0182,                   1.24,                0.94585,                0.91866,                0.96442,                0.75117,                0.88764,                0.65141,                 1.1132,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.0023,                0.90876,                 1.1954,                0.93207,                 0.9249,                 0.9723,                0.75566,                0.88851,                0.65523,                 1.1213,             0.00032553,             0.00032553,             0.00032553
                     42,                 0.9628,                0.86013,                 1.1918,                0.93565,                0.92465,                0.96446,                0.75022,                0.86569,                0.65689,                 1.1037,             0.00029723,             0.00029723,             0.00029723
                     43,                0.90245,                0.86818,                 1.1371,                0.94972,                0.90581,                0.96796,                0.77083,                0.82825,                0.63998,                 1.0849,             0.00026894,             0.00026894,             0.00026894
                     44,                0.92205,                0.84438,                  1.174,                0.95766,                0.93559,                0.97689,                0.77682,                0.82207,                 0.6128,                 1.0774,             0.00024064,             0.00024064,             0.00024064
                     45,                 0.8887,                0.79051,                 1.1235,                0.94938,                0.96262,                0.98162,                0.78907,                0.79835,                0.59123,                  1.065,             0.00021235,             0.00021235,             0.00021235
                     46,                0.88558,                0.78089,                 1.1417,                0.97943,                0.93436,                0.98148,                0.79468,                0.78045,                0.57416,                 1.0561,             0.00018406,             0.00018406,             0.00018406
                     47,                0.89305,                 0.7704,                  1.124,                0.95204,                0.95974,                0.98252,                0.79961,                0.77089,                0.56414,                 1.0482,             0.00015576,             0.00015576,             0.00015576
                     48,                0.86021,                0.74085,                 1.1182,                0.96981,                0.95355,                0.98348,                0.80337,                0.77046,                0.55636,                 1.0475,             0.00012747,             0.00012747,             0.00012747
                     49,                0.84704,                 0.7144,                  1.117,                0.96813,                0.95275,                 0.9843,                 0.8037,                0.77064,                0.54509,                 1.0468,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.83073,                0.72197,                 1.1172,                0.96618,                0.94177,                0.98417,                0.80998,                0.75902,                0.53909,                 1.0367,             7.0878e-05,             7.0878e-05,             7.0878e-05
